,name,income,expend
24580,Sparquote Limited,499285.0,629283.0
3644,Hyde Park Place Estate Charity,498112.0,446331.0
116584,Community Foundation for Lancashire (Former),497722.0,518853.0
79976,The Harris Family Charitable Trust,496361.0,145912.0
135655,The Nigel Gee Foundation,494328.0,49924.0
74141,The Cheridan Raithby Charitable Trust,493521.0,63396.0
68719,The George Cadbury Trust (George Henry T and Laurence J Cadbury Sections),493489.0,447821.0
89125,Games Aid,492296.0,385477.0
15451,William Thomas Parsey Patten Bequest,490104.0,528557.0
56772,Staples Trust,486529.0,520619.0
117277,Congregation Vyoel Moshe D'satmer Charitable Trust,486261.0,467218.0
29848,Friends of Victoria Hospital Wimborne,483123.0,138611.0
2734,The Emmott Foundation Limited,481555.0,442890.0
127538,The J R P Trust,481169.0,516719.0
130258,HW Abbott Will Trust,480638.0,949825.0
132673,The Springboard Bursary Foundation,480391.0,191501.0
114727,Gaunts House Charitable Foundation Limited,479387.0,500044.0
90000,The Millennium Oak Trust,478604.0,89850.0
80602,The Peter Moores Charitable Trust,478562.0,2594517.0
82084,Nottinghamshire Community Foundation,478505.0,603875.0
75763,The Archangel Trust,478446.0,479634.0
37202,The Norman Trust,477401.0,1498534.0
113223,The Amjad and Suha Bseisu Foundation,477378.0,108182.0
111423,Rookwood Foundation Ltd,476403.0,342695.0
13735,Solev Co Limited,475921.0,352415.0
20524,The Rind Foundation,475089.0,564116.0
111411,Hedge Funds Care UK,474992.0,299716.0
22006,Guru Nanak Nishkam Sewak Jatha London UK,474227.0,263388.0
113280,Broadwall Foundation,473606.0,473606.0
25378,The Richmond Foundation,473119.0,491610.0
26970,Davenant Foundation the Reynolds School Private Fund,471676.0,454536.0
132541,The Quarry Family Charitable Trust,470212.0,2100.0
112365,The Mcpin Foundation,469703.0,425892.0
16474,The William Leech Charity,467740.0,359101.0
9365,Frazer Trust,467535.0,521954.0
116700,The Foundation for Social Improvement,465882.0,465210.0
23315,The William Allen Young Charitable Trust,465787.0,234017.0
16149,The Arnold Lee Charitable Trust,465784.0,181279.0
114978,Hoping Foundation,465098.0,341142.0
126560,The New Entrepreneurs Foundation,465050.0,438094.0
88636,Gwyneth Forrester Trust,462995.0,510750.0
13943,The Vivienne and Samuel Cohen Charitable Trust,462640.0,141681.0
14738,The Colyer-Fergusson Charitable Trust,462460.0,514320.0
37642,The Flow Foundation,461455.0,200064.0
4282,St John's Hospital,461429.0,280426.0
42021,Beauland Limited,458582.0,273413.0
134350,Mace Foundation,456417.0,367197.0
27282,The Alan and Babette Sainsbury Charitable Fund,453931.0,519739.0
27801,Feed the Poor,453624.0,469263.0
132544,Parmarth Sadhna Charitable Trust UK,452632.0,21116.0
109214,Eagles Community Foundation,452060.0,451826.0
52799,The 1989 Willan Charitable Trust,451246.0,624871.0
121400,BHP Billiton Sustainable Communities,451100.0,11256050.0
82776,Meadow  Well Connected,451096.0,482452.0
98911,1st Ethical Charitable Trust,450659.0,427374.0
130682,Sharedimpact,449833.0,383101.0
25420,The Kennedy Leigh Charitable Trust,448485.0,404675.0
16879,The Material World Charitable Foundation Limited,448161.0,593243.0
119858,The Mill Charitable Trust,447577.0,424482.0
127100,Justlife Foundation,446759.0,417845.0
7485,The Douglas Turner Trust,446581.0,493568.0
21092,The Norman Family Charitable Trust,445343.0,427723.0
25636,The Parham Park Trust (1984),445141.0,622829.0
120624,The Zahra Trust,444498.0,448060.0
112728,Global Witness Trust,442455.0,441699.0
52968,Holdville Limited,442403.0,539234.0
126089,Greenbelt Galaxy Ltd,440249.0,20882.0
113941,The Young Lives Foundation,439187.0,399315.0
72889,Reifer Memorial Limited,438030.0,251326.0
133963,The Foundation Years Trust,435500.0,33983.0
68035,Stepping Stones School Hindhead Limited,434773.0,409980.0
120939,Friends of the Holy Land,433818.0,379139.0
134814,The Miles Morland Foundation,433020.0,430377.0
8720,The Hilden Charitable Fund,430719.0,651558.0
94593,Reaching the Unreached,430661.0,336263.0
53685,The a B Charitable Trust,429786.0,521098.0
85110,The Teaching Awards Trust,429654.0,558604.0
121181,The Involve Foundation,429520.0,437654.0
68648,The Alison Hillman Charitable Trust,429436.0,224968.0
43143,Dudley Canal Trust (Trips) Limited,429223.0,378842.0
124882,The Leeds United Foundation,428860.0,484951.0
69390,The Cbso Development Trust,428665.0,14117.0
88594,Pink Ribbon Foundation,427695.0,284304.0
121704,Zia Ul Ummah Foundation,427603.0,323493.0
2686,Lilian Frances Hind Bequest (Trustees of Lady Hind),426478.0,521618.0
23027,The Millichope Foundation,426024.0,298721.0
67835,Quercus Trust,423819.0,447185.0
21511,Reculver Charitable Trust,423658.0,31059.0
127126,The Abdalla Foundation,422866.0,44891.0
27210,Entosa Limited,421007.0,1573.0
128616,Sdsa Foundation,420860.0,458745.0
126402,The Pixel Fund,420485.0,46452.0
24138,The Friends of Cathedral Music,419793.0,369489.0
68389,The Mark Leonard Trust,419554.0,840948.0
108215,Friends of Ezra,419428.0,414344.0
83416,The Uki Charitable Foundation,418328.0,246159.0
105286,The Schroder Foundation,418204.0,1396286.0
18955,The William Barry Trust,417967.0,383832.0
4294,The United Charities of Abel Collin,417713.0,351457.0
95309,Myristica Trust,417265.0,145408.0
57145,Friends of the United Institutions of Arad,416220.0,405710.0
101831,The John Apthorp Charity,416107.0,408859.0
115887,Haber Charitable Trust,415907.0,292072.0
15437,The Katherine Martin Charitable Trust,415625.0,405557.0
114527,The Roper Family Charitable Trust,415096.0,448839.0
110110,The Sandhu Charitable Foundation,414928.0,302064.0
19430,Robert Luff Foundation Limited,413693.0,1083287.0
133637,The Sir Simon Milton Foundation,412065.0,77800.0
135093,Rio Ferdinand Foundation,411885.0,373287.0
87238,Sabeno Limited,411830.0,178592.0
6687,The New England Company,411080.0,500414.0
3122,Louis Baylis (Maidenhead Advertiser) Charitable Trust,411024.0,335015.0
22933,Tevini Limited,411000.0,442664.0
62106,Indie Training Fund,410764.0,497852.0
66131,New Ways,410431.0,395025.0
95926,Mbi Al Jaber Foundation,410367.0,402493.0
125809,The Sara Charlton Charitable Foundation,410153.0,264436.0
22666,The Tompkins Foundation,408576.0,445456.0
2169,Jca Charitable Foundation,407000.0,1109000.0
62559,Odin Charitable Trust,406382.0,245459.0
25295,Ridgesave Limited,406093.0,2422432.0
37760,The Tedworth Charitable Trust,405985.0,637913.0
70557,Huntingdon Freemen's Trust,403942.0,447758.0
57611,The Joe and Rosa Frenkel Charitable Trust,403906.0,730515.0
127962,The Second Half Foundation,403778.0,102238.0
129987,Baila Charitable Trust,402535.0,173040.0
60041,Tanner Trust,402071.0,445479.0
118307,The Nehemiah Foundation,401632.0,141561.0
17583,W K Gibson's Charity Trust,401509.0,19873.0
124224,The Stewarts Law Foundation,401131.0,377261.0
40576,Jain Samaj Europe,400610.0,224188.0
16112,MR H M T Gibson's Charity Trust,399574.0,10189.0
116840,PS Foundation,398550.0,318566.0
29767,The J G Hogg Charitable Trust,398278.0,11475.0
16168,The Ian Askew Charitable Trust,397704.0,392634.0
94060,The Ideas Foundation,395781.0,382189.0
120724,Foundation of Alfred Orda Prize for Approved Further Study,395000.0,1110.0
92305,T. & J. Meyer Family Foundation Limited,394530.0,808587.0
118549,Active Change Foundation Limited,393877.0,484890.0
11699,The Batchworth Trust,393684.0,440251.0
109806,True Volunteer Foundation,393649.0,418837.0
54000,Rogers Stirk Harbour + Partners Charitable Foundation Limited,393343.0,486754.0
2136,The Charles Sykes Trust Also Known as the Charles and Elsie Sykes Trust,392967.0,454212.0
117686,Temple Garden Foundation,392743.0,387565.0
103391,Westhill Endowment,392687.0,334092.0
120016,Penny Appeal,392500.0,359220.0
15975,The S M B Trust,392370.0,354193.0
15482,The John Coates Charitable Trust,392216.0,349543.0
12321,Wates Foundation,392005.0,1018344.0
14645,G J W Turner Trust,391915.0,368709.0
124154,On Course Foundation,389799.0,403468.0
118629,Mesothelioma UK Charitable Trust,389786.0,204615.0
124700,Trinity Sailing Foundation,388881.0,494218.0
129184,MRS D M France-Hayhurst Charitable Trust,388658.0,496503.0
113660,Salford Red Devils Foundation,388191.0,410690.0
116099,The Marple Charitable Trust,387875.0,197683.0
129007,Six Point Foundation,387255.0,1270376.0
52372,Bill Brown's Charitable Settlement of 1989,385138.0,850420.0
7004,Essex Youth Trust,385030.0,392580.0
119105,The Aldama Foundation,385016.0,308224.0
51889,Tudor Rose Limited,384856.0,1070042.0
76915,Yesbe Limited,384564.0,424392.0
19938,The Doughty Charity Trust,384020.0,426011.0
133401,The Mitie Foundation,384000.0,336000.0
130752,The Thompson Family Foundation,383382.0,5998.0
88578,Cannon Charitable Trust,383011.0,426248.0
71575,Pestalozzi World Children's Trust,382711.0,379253.0
127840,Rainmaker Foundation,382245.0,301663.0
24700,The Ofenheim Charitable Trust,381201.0,516081.0
2821,Sir John Priestman Charity Trust,380936.0,450041.0
1775,The Kingsbury Charity,380232.0,358355.0
90847,Zichron Nachum (Europe) Trust,379503.0,409949.0
127246,Ambuya Foundation,378317.0,402710.0
122538,The NDL Foundation,378300.0,359931.0
21783,The Friends of Asos Chesed,378191.0,378433.0
89941,The Philip Marsden Family Charitable Trust,377154.0,135109.0
25868,The Violet and Milo Cripps Charitable Trust,377093.0,171694.0
37794,The Tisbury Telegraph Trust,377048.0,329910.0
19308,Tiffinian Limited,376625.0,334193.0
82570,The Fulmer Charitable Trust,375421.0,357193.0
131394,The Grocott Family Charitable Trust,375379.0,0.0
122150,Herbert and Stefanie Straus Memorial Trust,375299.0,2160.0
55438,Kohn Foundation,374122.0,703250.0
118254,Moundfield Charities Limited,373907.0,476038.0
122532,Bilton Grange Foundation Limited,371558.0,137607.0
19507,Bettenhurst Charity Limited,370665.0,140616.0
16912,The Paul Bassham Charitable Trust,369927.0,440657.0
105404,Freedom and Autonomy for Schools - National Association,367950.0,391967.0
121830,Action Foundation,367387.0,333575.0
112068,First Light Movies Limited,366873.0,421842.0
55543,Thomas Howell's Trust,366202.0,365702.0
0,The Ralph Levy Charitable Company Limited,365951.0,277189.0
26896,The Bowland Charitable Trust,365714.0,1232399.0
21856,Eveland Limited,365576.0,323883.0
52933,The Allen and Overy Foundation,364760.0,517962.0
113244,John Huntingdon's Charity,363271.0,335235.0
89122,Southall Black Sisters Trust,363123.0,331843.0
90282,The Manoukian Charitable Foundation,362814.0,365723.0
120192,Masters Foundation,362688.0,90407.0
121562,The Global Warming Policy Foundation,362632.0,266371.0
18255,The Green Hall Foundation,361744.0,313606.0
26623,C B and H H Taylor 1984 Trust,359557.0,305313.0
89683,The Slaughter and May Charitable Trust,358358.0,317308.0
92377,Give Us a Chance,358000.0,437345.0
8992,Society of Mary Reparatrix,357732.0,233725.0
132959,HC Foundation,356340.0,132976.0
78675,Marlborough College Trust,355360.0,232988.0
119439,The Rosemarie Nathanson Charitable Trust,355239.0,431641.0
24222,R C and M E Edmondson Trust,353434.0,7029.0
112545,Harpenden Spotlight on Africa,352656.0,282468.0
21777,The Armourers and Brasiers Gauntlet Trust,352275.0,258118.0
14684,Cecil and Hilda Lewis Charitable Trust,350603.0,330254.0
58017,The Vintners' Foundation,350418.0,109334.0
128759,Lifebox Foundation,350124.0,503037.0
119404,The Jaspar Foundation,349534.0,88246.0
37545,The Rugby League Foundation,347700.0,367671.0
118936,Primark Better Lives Foundation,347524.0,379529.0
122924,Guerrand Hermes Foundation for Peace,347402.0,374517.0
73829,Peterborough Cathedral Development and Preservation Trust,342961.0,306770.0
91619,The Hill Foundation,342878.0,474845.0
5633,Friends of Winchester Cathedral,341668.0,370496.0
96031,The Blanes Trust,340309.0,103398.0
40082,"Welsh Church Act Fund Within the Areas of Rhondda Cynon Taff, Bridgend and Merthyr Tydfil County Borough Councils",340142.0,363231.0
22358,Friends of the Bodleian,339984.0,137840.0
114930,The Stationers' Foundation,339538.0,243470.0
86398,Kollel and Co Limited,338651.0,370440.0
15054,The Phillips and Rubens Charitable Trust,338350.0,388361.0
72205,The Becker Family Charitable Trust,338235.0,37825.0
82800,British Friends of Mosdos Tchernobel,337955.0,384767.0
134516,The Rothes Charitable Trust,337500.0,72200.0
30015,The Kathleen Hannay Memorial Charity,336697.0,725684.0
107822,Country Houses Foundation,335301.0,982239.0
86012,The Prospects Foundation,334419.0,306637.0
69119,St. Mary's Development Trust,333642.0,540075.0
115939,The Brelms Trust,333488.0,421231.0
102038,Human Development Concern for Horn of Africa,332377.0,386683.0
92125,The Maurice and Norma Cohen Charitable Trust,331713.0,181003.0
37732,Burrow Family Charitable Trust,331000.0,418350.0
44329,The Beamish Development Trust,330472.0,355050.0
122220,The International CML Foundation,329627.0,219319.0
37054,The Lynn Foundation,329392.0,264145.0
118262,The Junction Foundation,328791.0,321033.0
37059,The Heathside Charitable Trust,328670.0,358753.0
3390,The Roger and Sarah Bancroft Clark Charitable Trust,327611.0,599141.0
130776,International Pole and Line Foundation,327271.0,257081.0
122820,Al-Burhan Foundation,326997.0,204203.0
20646,The Harley Foundation,326563.0,312778.0
133304,The TMT Foundation,325215.0,461021.0
113554,Revive Healthy Living,325021.0,299304.0
37454,The Puri Foundation,324763.0,286334.0
10959,The Pilling Trust Fund,323996.0,285312.0
19499,The M D and S Charitable Trust,323702.0,328311.0
75849,Nelson Mandela Children's Fund (Uk),323358.0,209613.0
116745,Footsteps Foundation,323188.0,280570.0
110946,Yad Eliezer Trust,322916.0,449749.0
94380,Cumbria Waste Management Environment Trust,322208.0,594983.0
408,Bridge Trust,321884.0,379970.0
36198,The Friends of the Courtauld Institute,321467.0,342240.0
36154,John Roan Foundation,321182.0,195721.0
127118,The Relithan Charitable Trust,321076.0,303616.0
