id,subSector,strata,expend,income
0,Culture and recreation,100k to 500k,393195367.0,413566254.0
1,Culture and recreation,10k to 25k,66048970.0,61890504.0
2,Culture and recreation,10m to 100m,1462927735.0,1580350016.0
3,Culture and recreation,1m to 10m,1482022805.0,1592322206.82
4,Culture and recreation,25k to 100k,168081796.0,170734442.0
5,Culture and recreation,500k to 1m,261085687.0,270604719.0
6,Culture and recreation,Over 100m,530611000.0,563054000.0
7,Culture and recreation,Under 10k,37465507.0,27579636.0
8,Development,100k to 500k,177415806.0,187303426.0
9,Development,10k to 25k,23664129.0,22689156.0
10,Development,10m to 100m,166426089.0,174663174.0
11,Development,1m to 10m,222127447.0,242242759.0
12,Development,25k to 100k,73713927.0,74533076.0
13,Development,500k to 1m,92246855.0,95159049.0
14,Development,Under 10k,17650724.0,15237447.0
15,Education,100k to 500k,156984909.0,165870134.0
16,Education,10k to 25k,14759620.0,14169977.0
17,Education,10m to 100m,332025678.7,354635630.7
18,Education,1m to 10m,690829389.0,710140252.0
19,Education,25k to 100k,47726433.0,46957203.0
20,Education,500k to 1m,107026668.0,110418940.0
21,Education,Under 10k,11348133.0,8764115.0
22,Employment and training,100k to 500k,63832402.0,65255627.0
23,Employment and training,10k to 25k,3641625.0,3556407.0
24,Employment and training,10m to 100m,458538209.0,478637753.0
25,Employment and training,1m to 10m,259043172.0,275481827.0
26,Employment and training,25k to 100k,15138519.0,14346681.0
27,Employment and training,500k to 1m,38945325.0,40270834.0
28,Employment and training,Over 100m,106163000.0,107897000.0
29,Employment and training,Under 10k,1926437.0,1664955.0
30,Environment,100k to 500k,165203661.0,178372909.0
31,Environment,10k to 25k,11001204.0,9789175.0
32,Environment,10m to 100m,834846593.0,900890602.0
33,Environment,1m to 10m,620677454.889,692375028.526
34,Environment,25k to 100k,50761856.0,49468956.0
35,Environment,500k to 1m,108409189.0,115774125.0
36,Environment,Over 100m,712093000.0,708588000.0
37,Environment,Under 10k,9428615.0,5187830.0
38,Grant-making foundations,100k to 500k,358285478.0,290172925.0
39,Grant-making foundations,10k to 25k,38764499.0,24369113.0
40,Grant-making foundations,10m to 100m,785960090.2,1180450599.8
41,Grant-making foundations,1m to 10m,1008193435.34,1120898329.13
42,Grant-making foundations,25k to 100k,121359392.648,90046126.336
43,Grant-making foundations,500k to 1m,229195108.6,178154638.6
44,Grant-making foundations,Over 100m,235985759.0,552019262.1
45,Grant-making foundations,Under 10k,36316473.0,12854520.0
46,Health,100k to 500k,217424409.555,220671188.259
47,Health,10k to 25k,13410824.0,11471551.0
48,Health,10m to 100m,1530647131.0,1594719154.0
49,Health,1m to 10m,1284674738.46,1389211032.17
50,Health,25k to 100k,59784498.0,56703923.0
51,Health,500k to 1m,162016544.0,171610976.0
52,Health,Over 100m,718204000.0,745843000.0
53,Health,Under 10k,9172102.0,5278463.0
54,Housing,100k to 500k,109350665.0,114839482.0
55,Housing,10k to 25k,9351429.0,9382123.0
56,Housing,10m to 100m,509170953.0,588154424.0
57,Housing,1m to 10m,427338807.5,436372156.0
58,Housing,25k to 100k,32846832.0,32281380.0
59,Housing,500k to 1m,101542997.0,106095198.0
60,Housing,Under 10k,4373718.0,3349311.0
61,International,100k to 500k,123517480.537,121265047.885
62,International,10k to 25k,12146964.0,11750507.0
63,International,10m to 100m,1532798353.84,1667636306.18
